geographical_entity_1,geographical_entity_2,F-score
http://dbpedia.org/resource/County_Westmeath,http://dbpedia.org/resource/County_Wicklow,0.92
http://dbpedia.org/resource/County_Westmeath,http://dbpedia.org/resource/County_Wexford,0.92
http://dbpedia.org/resource/County_Westmeath,http://dbpedia.org/resource/County_Louth,0.92
http://dbpedia.org/resource/County_Leitrim,http://dbpedia.org/resource/County_Mayo,0.92
http://dbpedia.org/resource/County_Kerry,http://dbpedia.org/resource/County_Cork,0.92
http://dbpedia.org/resource/County_Kerry,http://dbpedia.org/resource/County_Waterford,0.92
http://dbpedia.org/resource/County_Wicklow,http://dbpedia.org/resource/County_Louth,0.92
http://dbpedia.org/resource/County_Wicklow,http://dbpedia.org/resource/County_Meath,0.92
http://dbpedia.org/resource/County_Wicklow,http://dbpedia.org/resource/County_Wexford,0.92
http://dbpedia.org/resource/County_Kilkenny,http://dbpedia.org/resource/County_Louth,0.92
http://dbpedia.org/resource/County_Waterford,http://dbpedia.org/resource/County_Kerry,0.92
http://dbpedia.org/resource/County_Waterford,http://dbpedia.org/resource/County_Cork,0.92
http://dbpedia.org/resource/County_Kilkenny,http://dbpedia.org/resource/County_Wexford,0.92
http://dbpedia.org/resource/County_Cork,http://dbpedia.org/resource/County_Kerry,0.92
http://dbpedia.org/resource/County_Cork,http://dbpedia.org/resource/County_Waterford,0.92
http://dbpedia.org/resource/County_Kilkenny,http://dbpedia.org/resource/County_Westmeath,0.92
http://dbpedia.org/resource/County_Louth,http://dbpedia.org/resource/County_Kilkenny,0.92
http://dbpedia.org/resource/County_Louth,http://dbpedia.org/resource/County_Meath,0.92
http://dbpedia.org/resource/County_Leitrim,http://dbpedia.org/resource/County_Sligo,0.92
http://dbpedia.org/resource/County_Kilkenny,http://dbpedia.org/resource/County_Wicklow,0.92
http://dbpedia.org/resource/County_Louth,http://dbpedia.org/resource/County_Wexford,0.92
http://dbpedia.org/resource/County_Meath,http://dbpedia.org/resource/County_Louth,0.92
http://dbpedia.org/resource/County_Louth,http://dbpedia.org/resource/County_Wicklow,0.92
http://dbpedia.org/resource/County_Mayo,http://dbpedia.org/resource/County_Leitrim,0.92
http://dbpedia.org/resource/County_Mayo,http://dbpedia.org/resource/County_Sligo,0.92
http://dbpedia.org/resource/County_Mayo,http://dbpedia.org/resource/County_Galway,0.92
http://dbpedia.org/resource/County_Louth,http://dbpedia.org/resource/County_Westmeath,0.92
http://dbpedia.org/resource/County_Galway,http://dbpedia.org/resource/County_Mayo,0.92
http://dbpedia.org/resource/County_Meath,http://dbpedia.org/resource/County_Wicklow,0.92
http://dbpedia.org/resource/County_Kilkenny,http://dbpedia.org/resource/County_Meath,0.92
http://dbpedia.org/resource/Inishmacowney,http://dbpedia.org/resource/Trummer,0.9
http://dbpedia.org/resource/Inishmacowney,http://dbpedia.org/resource/Inishloe,0.9
http://dbpedia.org/resource/Inishmacowney,http://dbpedia.org/resource/Deer_Island_(Ireland),0.9
http://dbpedia.org/resource/Inishloe,http://dbpedia.org/resource/Trummer,0.9
http://dbpedia.org/resource/Deer_Island_(Ireland),http://dbpedia.org/resource/Inishloe,0.9
http://dbpedia.org/resource/Trummer,http://dbpedia.org/resource/Inishloe,0.9
http://dbpedia.org/resource/Trummer,http://dbpedia.org/resource/Inishmacowney,0.9
http://dbpedia.org/resource/Inishloe,http://dbpedia.org/resource/Inishmacowney,0.9
http://dbpedia.org/resource/Trummer,http://dbpedia.org/resource/Deer_Island_(Ireland),0.9
http://dbpedia.org/resource/Inishloe,http://dbpedia.org/resource/Deer_Island_(Ireland),0.9
http://dbpedia.org/resource/Deer_Island_(Ireland),http://dbpedia.org/resource/Trummer,0.9
http://dbpedia.org/resource/County_Wicklow,http://dbpedia.org/resource/County_Kerry,0.9
http://dbpedia.org/resource/County_Kerry,http://dbpedia.org/resource/County_Wicklow,0.9
http://dbpedia.org/resource/Deer_Island_(Ireland),http://dbpedia.org/resource/Inishmacowney,0.9
http://dbpedia.org/resource/County_Kilkenny,http://dbpedia.org/resource/County_Offaly,0.88
http://dbpedia.org/resource/County_Offaly,http://dbpedia.org/resource/County_Louth,0.88
http://dbpedia.org/resource/County_Offaly,http://dbpedia.org/resource/County_Wicklow,0.88
http://dbpedia.org/resource/County_Offaly,http://dbpedia.org/resource/County_Westmeath,0.88
http://dbpedia.org/resource/County_Laois,http://dbpedia.org/resource/County_Kilkenny,0.88
http://dbpedia.org/resource/County_Offaly,http://dbpedia.org/resource/County_Wexford,0.88
http://dbpedia.org/resource/County_Offaly,http://dbpedia.org/resource/County_Meath,0.88
http://dbpedia.org/resource/County_Laois,http://dbpedia.org/resource/County_Louth,0.88
http://dbpedia.org/resource/County_Laois,http://dbpedia.org/resource/County_Wicklow,0.88
http://dbpedia.org/resource/County_Laois,http://dbpedia.org/resource/County_Westmeath,0.88
http://dbpedia.org/resource/County_Laois,http://dbpedia.org/resource/County_Wexford,0.88
http://dbpedia.org/resource/County_Kilkenny,http://dbpedia.org/resource/County_Laois,0.88
http://dbpedia.org/resource/County_Laois,http://dbpedia.org/resource/County_Meath,0.88
http://dbpedia.org/resource/County_Louth,http://dbpedia.org/resource/County_Laois,0.88
http://dbpedia.org/resource/County_Meath,http://dbpedia.org/resource/County_Laois,0.88
http://dbpedia.org/resource/County_Wexford,http://dbpedia.org/resource/County_Offaly,0.88
http://dbpedia.org/resource/County_Louth,http://dbpedia.org/resource/County_Offaly,0.88
http://dbpedia.org/resource/Dún_Laoghaire–Rathdown,http://dbpedia.org/resource/South_Dublin,0.88
http://dbpedia.org/resource/County_Wicklow,http://dbpedia.org/resource/County_Offaly,0.88
http://dbpedia.org/resource/County_Wicklow,http://dbpedia.org/resource/County_Laois,0.88
http://dbpedia.org/resource/County_Meath,http://dbpedia.org/resource/County_Offaly,0.88
http://dbpedia.org/resource/County_Offaly,http://dbpedia.org/resource/County_Kilkenny,0.88
http://dbpedia.org/resource/County_Wexford,http://dbpedia.org/resource/County_Laois,0.88
http://dbpedia.org/resource/County_Westmeath,http://dbpedia.org/resource/County_Offaly,0.88
http://dbpedia.org/resource/County_Westmeath,http://dbpedia.org/resource/County_Laois,0.88
http://dbpedia.org/resource/South_Dublin,http://dbpedia.org/resource/Dún_Laoghaire–Rathdown,0.88
http://dbpedia.org/resource/County_Leitrim,http://dbpedia.org/resource/County_Wexford,0.87
http://dbpedia.org/resource/Shenick_Island,http://dbpedia.org/resource/St_Patrick's_Island,0.87
http://dbpedia.org/resource/County_Leitrim,http://dbpedia.org/resource/County_Westmeath,0.87
http://dbpedia.org/resource/County_Leitrim,http://dbpedia.org/resource/County_Wicklow,0.87
http://dbpedia.org/resource/County_Leitrim,http://dbpedia.org/resource/County_Meath,0.87
http://dbpedia.org/resource/County_Leitrim,http://dbpedia.org/resource/County_Louth,0.87
http://dbpedia.org/resource/County_Leitrim,http://dbpedia.org/resource/County_Waterford,0.87
http://dbpedia.org/resource/County_Leitrim,http://dbpedia.org/resource/County_Kerry,0.87
http://dbpedia.org/resource/County_Leitrim,http://dbpedia.org/resource/County_Cork,0.87
http://dbpedia.org/resource/Shenick_Island,http://dbpedia.org/resource/Colt_Island,0.87
http://dbpedia.org/resource/County_Leitrim,http://dbpedia.org/resource/County_Kilkenny,0.87
http://dbpedia.org/resource/County_Kilkenny,http://dbpedia.org/resource/County_Mayo,0.87
http://dbpedia.org/resource/County_Cork,http://dbpedia.org/resource/County_Meath,0.87
http://dbpedia.org/resource/County_Galway,http://dbpedia.org/resource/County_Westmeath,0.87
http://dbpedia.org/resource/County_Galway,http://dbpedia.org/resource/County_Wexford,0.87
http://dbpedia.org/resource/County_Galway,http://dbpedia.org/resource/County_Wicklow,0.87
http://dbpedia.org/resource/County_Galway,http://dbpedia.org/resource/County_Louth,0.87
http://dbpedia.org/resource/Colt_Island,http://dbpedia.org/resource/Shenick_Island,0.87
http://dbpedia.org/resource/Colt_Island,http://dbpedia.org/resource/St_Patrick's_Island,0.87
http://dbpedia.org/resource/County_Cork,http://dbpedia.org/resource/County_Sligo,0.87
http://dbpedia.org/resource/County_Cork,http://dbpedia.org/resource/County_Mayo,0.87
http://dbpedia.org/resource/County_Kilkenny,http://dbpedia.org/resource/County_Sligo,0.87
http://dbpedia.org/resource/County_Cork,http://dbpedia.org/resource/County_Louth,0.87
http://dbpedia.org/resource/County_Cork,http://dbpedia.org/resource/County_Leitrim,0.87
http://dbpedia.org/resource/County_Cork,http://dbpedia.org/resource/County_Wexford,0.87
http://dbpedia.org/resource/County_Cork,http://dbpedia.org/resource/County_Westmeath,0.87
http://dbpedia.org/resource/County_Cork,http://dbpedia.org/resource/County_Wicklow,0.87
http://dbpedia.org/resource/County_Cork,http://dbpedia.org/resource/County_Kilkenny,0.87
http://dbpedia.org/resource/County_Cork,http://dbpedia.org/resource/County_Galway,0.87
http://dbpedia.org/resource/County_Galway,http://dbpedia.org/resource/County_Waterford,0.87
http://dbpedia.org/resource/County_Galway,http://dbpedia.org/resource/County_Meath,0.87
http://dbpedia.org/resource/County_Galway,http://dbpedia.org/resource/County_Cork,0.87
http://dbpedia.org/resource/County_Galway,http://dbpedia.org/resource/County_Kerry,0.87
http://dbpedia.org/resource/County_Kilkenny,http://dbpedia.org/resource/County_Waterford,0.87
http://dbpedia.org/resource/County_Kilkenny,http://dbpedia.org/resource/County_Leitrim,0.87
http://dbpedia.org/resource/County_Kilkenny,http://dbpedia.org/resource/County_Kerry,0.87
http://dbpedia.org/resource/County_Kilkenny,http://dbpedia.org/resource/County_Cork,0.87
http://dbpedia.org/resource/County_Kilkenny,http://dbpedia.org/resource/County_Galway,0.87
http://dbpedia.org/resource/County_Kerry,http://dbpedia.org/resource/County_Louth,0.87
http://dbpedia.org/resource/County_Kerry,http://dbpedia.org/resource/County_Mayo,0.87
http://dbpedia.org/resource/County_Kerry,http://dbpedia.org/resource/County_Westmeath,0.87
http://dbpedia.org/resource/County_Louth,http://dbpedia.org/resource/County_Waterford,0.87
http://dbpedia.org/resource/County_Kerry,http://dbpedia.org/resource/County_Leitrim,0.87
http://dbpedia.org/resource/County_Kerry,http://dbpedia.org/resource/County_Wexford,0.87
http://dbpedia.org/resource/County_Kerry,http://dbpedia.org/resource/County_Sligo,0.87
http://dbpedia.org/resource/County_Kerry,http://dbpedia.org/resource/County_Galway,0.87
http://dbpedia.org/resource/County_Kerry,http://dbpedia.org/resource/County_Meath,0.87
http://dbpedia.org/resource/County_Galway,http://dbpedia.org/resource/County_Kilkenny,0.87
http://dbpedia.org/resource/County_Kerry,http://dbpedia.org/resource/County_Kilkenny,0.87
http://dbpedia.org/resource/County_Mayo,http://dbpedia.org/resource/County_Kerry,0.87
http://dbpedia.org/resource/County_Louth,http://dbpedia.org/resource/County_Sligo,0.87
http://dbpedia.org/resource/County_Waterford,http://dbpedia.org/resource/County_Meath,0.87
http://dbpedia.org/resource/County_Westmeath,http://dbpedia.org/resource/County_Sligo,0.87
http://dbpedia.org/resource/County_Waterford,http://dbpedia.org/resource/County_Galway,0.87
http://dbpedia.org/resource/County_Waterford,http://dbpedia.org/resource/County_Sligo,0.87
http://dbpedia.org/resource/County_Waterford,http://dbpedia.org/resource/County_Kilkenny,0.87
http://dbpedia.org/resource/County_Waterford,http://dbpedia.org/resource/County_Leitrim,0.87
http://dbpedia.org/resource/County_Louth,http://dbpedia.org/resource/County_Leitrim,0.87
http://dbpedia.org/resource/County_Waterford,http://dbpedia.org/resource/County_Mayo,0.87
http://dbpedia.org/resource/County_Waterford,http://dbpedia.org/resource/County_Wicklow,0.87
http://dbpedia.org/resource/County_Sligo,http://dbpedia.org/resource/County_Westmeath,0.87
http://dbpedia.org/resource/County_Waterford,http://dbpedia.org/resource/County_Wexford,0.87
http://dbpedia.org/resource/County_Waterford,http://dbpedia.org/resource/County_Westmeath,0.87
http://dbpedia.org/resource/County_Sligo,http://dbpedia.org/resource/County_Cork,0.87
http://dbpedia.org/resource/County_Sligo,http://dbpedia.org/resource/County_Kerry,0.87
http://dbpedia.org/resource/County_Sligo,http://dbpedia.org/resource/County_Kilkenny,0.87
http://dbpedia.org/resource/County_Sligo,http://dbpedia.org/resource/County_Wicklow,0.87
http://dbpedia.org/resource/County_Sligo,http://dbpedia.org/resource/County_Louth,0.87
http://dbpedia.org/resource/County_Westmeath,http://dbpedia.org/resource/County_Mayo,0.87
http://dbpedia.org/resource/County_Westmeath,http://dbpedia.org/resource/County_Leitrim,0.87
http://dbpedia.org/resource/County_Westmeath,http://dbpedia.org/resource/County_Cork,0.87
http://dbpedia.org/resource/County_Westmeath,http://dbpedia.org/resource/County_Galway,0.87
http://dbpedia.org/resource/County_Wicklow,http://dbpedia.org/resource/County_Waterford,0.87
http://dbpedia.org/resource/County_Wicklow,http://dbpedia.org/resource/County_Sligo,0.87
http://dbpedia.org/resource/County_Wicklow,http://dbpedia.org/resource/County_Mayo,0.87
http://dbpedia.org/resource/County_Wicklow,http://dbpedia.org/resource/County_Galway,0.87
http://dbpedia.org/resource/County_Wicklow,http://dbpedia.org/resource/County_Leitrim,0.87
http://dbpedia.org/resource/County_Wicklow,http://dbpedia.org/resource/County_Cork,0.87
http://dbpedia.org/resource/County_Wexford,http://dbpedia.org/resource/County_Galway,0.87
http://dbpedia.org/resource/County_Wexford,http://dbpedia.org/resource/County_Kerry,0.87
http://dbpedia.org/resource/County_Wexford,http://dbpedia.org/resource/County_Leitrim,0.87
http://dbpedia.org/resource/County_Wexford,http://dbpedia.org/resource/County_Cork,0.87
http://dbpedia.org/resource/County_Wexford,http://dbpedia.org/resource/County_Mayo,0.87
http://dbpedia.org/resource/County_Wexford,http://dbpedia.org/resource/County_Sligo,0.87
http://dbpedia.org/resource/County_Wexford,http://dbpedia.org/resource/County_Waterford,0.87
http://dbpedia.org/resource/County_Westmeath,http://dbpedia.org/resource/County_Waterford,0.87
http://dbpedia.org/resource/County_Westmeath,http://dbpedia.org/resource/County_Kerry,0.87
http://dbpedia.org/resource/County_Sligo,http://dbpedia.org/resource/County_Wexford,0.87
http://dbpedia.org/resource/County_Waterford,http://dbpedia.org/resource/County_Louth,0.87
http://dbpedia.org/resource/County_Sligo,http://dbpedia.org/resource/County_Waterford,0.87
http://dbpedia.org/resource/County_Meath,http://dbpedia.org/resource/County_Leitrim,0.87
http://dbpedia.org/resource/County_Louth,http://dbpedia.org/resource/County_Kerry,0.87
http://dbpedia.org/resource/County_Louth,http://dbpedia.org/resource/County_Mayo,0.87
http://dbpedia.org/resource/County_Louth,http://dbpedia.org/resource/County_Cork,0.87
http://dbpedia.org/resource/County_Louth,http://dbpedia.org/resource/County_Galway,0.87
http://dbpedia.org/resource/County_Mayo,http://dbpedia.org/resource/County_Wicklow,0.87
http://dbpedia.org/resource/County_Sligo,http://dbpedia.org/resource/County_Meath,0.87
http://dbpedia.org/resource/County_Mayo,http://dbpedia.org/resource/County_Wexford,0.87
http://dbpedia.org/resource/County_Mayo,http://dbpedia.org/resource/County_Westmeath,0.87
http://dbpedia.org/resource/County_Mayo,http://dbpedia.org/resource/County_Waterford,0.87
http://dbpedia.org/resource/County_Mayo,http://dbpedia.org/resource/County_Meath,0.87
http://dbpedia.org/resource/County_Mayo,http://dbpedia.org/resource/County_Kilkenny,0.87
http://dbpedia.org/resource/County_Mayo,http://dbpedia.org/resource/County_Cork,0.87
http://dbpedia.org/resource/County_Mayo,http://dbpedia.org/resource/County_Louth,0.87
http://dbpedia.org/resource/County_Meath,http://dbpedia.org/resource/County_Kerry,0.87
http://dbpedia.org/resource/St_Patrick's_Island,http://dbpedia.org/resource/Shenick_Island,0.87
http://dbpedia.org/resource/St_Patrick's_Island,http://dbpedia.org/resource/Colt_Island,0.87
http://dbpedia.org/resource/County_Meath,http://dbpedia.org/resource/County_Mayo,0.87
http://dbpedia.org/resource/County_Meath,http://dbpedia.org/resource/County_Sligo,0.87
http://dbpedia.org/resource/County_Meath,http://dbpedia.org/resource/County_Cork,0.87
http://dbpedia.org/resource/County_Meath,http://dbpedia.org/resource/County_Waterford,0.87
http://dbpedia.org/resource/County_Meath,http://dbpedia.org/resource/County_Galway,0.87
http://dbpedia.org/resource/Mason_Island,http://dbpedia.org/resource/Illauneeragh,0.86
http://dbpedia.org/resource/Owey_Island,http://dbpedia.org/resource/Rotten_Island,0.86
http://dbpedia.org/resource/Owey_Island,http://dbpedia.org/resource/Glashedy,0.86
http://dbpedia.org/resource/Glashedy,http://dbpedia.org/resource/Owey_Island,0.86
http://dbpedia.org/resource/Mason_Island,http://dbpedia.org/resource/Inishark,0.86
http://dbpedia.org/resource/Mason_Island,http://dbpedia.org/resource/Inisheltia,0.86
http://dbpedia.org/resource/Mason_Island,"http://dbpedia.org/resource/Mutton_Island,_County_Galway",0.86
http://dbpedia.org/resource/Mason_Island,http://dbpedia.org/resource/Illauneeragh_West,0.86
http://dbpedia.org/resource/Inisheltia,http://dbpedia.org/resource/Illauneeragh,0.86
"http://dbpedia.org/resource/Mutton_Island,_County_Galway",http://dbpedia.org/resource/Illauneeragh,0.86
"http://dbpedia.org/resource/Mutton_Island,_County_Galway",http://dbpedia.org/resource/Illauneeragh_West,0.86
http://dbpedia.org/resource/Inisheltia,http://dbpedia.org/resource/Illauneeragh_West,0.86
"http://dbpedia.org/resource/Mutton_Island,_County_Galway",http://dbpedia.org/resource/Inchamakinna,0.86
http://dbpedia.org/resource/Inisheltia,http://dbpedia.org/resource/Inchamakinna,0.86
http://dbpedia.org/resource/Mason_Island,http://dbpedia.org/resource/Inchamakinna,0.86
http://dbpedia.org/resource/Illauneeragh_West,http://dbpedia.org/resource/Inchamakinna,0.86
http://dbpedia.org/resource/Deenish_Island,http://dbpedia.org/resource/Beginish_Island,0.86
http://dbpedia.org/resource/Illauneeragh_West,http://dbpedia.org/resource/Inishark,0.86
http://dbpedia.org/resource/Illauneeragh_West,http://dbpedia.org/resource/Inisheltia,0.86
http://dbpedia.org/resource/Inisheltia,http://dbpedia.org/resource/Inishark,0.86
http://dbpedia.org/resource/Glashedy,http://dbpedia.org/resource/Rotten_Island,0.86
http://dbpedia.org/resource/County_Longford,http://dbpedia.org/resource/County_Wicklow,0.86
http://dbpedia.org/resource/Deenish_Island,http://dbpedia.org/resource/Magharee_Islands,0.86
http://dbpedia.org/resource/County_Wicklow,http://dbpedia.org/resource/County_Longford,0.86
http://dbpedia.org/resource/County_Kilkenny,http://dbpedia.org/resource/County_Longford,0.86
http://dbpedia.org/resource/County_Meath,http://dbpedia.org/resource/County_Longford,0.86
http://dbpedia.org/resource/Illauneeragh,"http://dbpedia.org/resource/Mutton_Island,_County_Galway",0.86
http://dbpedia.org/resource/Mutton_Island,"http://dbpedia.org/resource/Mutton_Island,_County_Galway",0.86
http://dbpedia.org/resource/Illauneeragh,http://dbpedia.org/resource/Mason_Island,0.86
http://dbpedia.org/resource/Illauneeragh,http://dbpedia.org/resource/Inisheltia,0.86
http://dbpedia.org/resource/Illauneeragh,http://dbpedia.org/resource/Inishark,0.86
http://dbpedia.org/resource/Illauneeragh,http://dbpedia.org/resource/Inchamakinna,0.86
http://dbpedia.org/resource/Illauneeragh_West,"http://dbpedia.org/resource/Mutton_Island,_County_Galway",0.86
http://dbpedia.org/resource/Inisheltia,"http://dbpedia.org/resource/Mutton_Island,_County_Galway",0.86
http://dbpedia.org/resource/Inisheltia,http://dbpedia.org/resource/Mason_Island,0.86
http://dbpedia.org/resource/County_Westmeath,http://dbpedia.org/resource/County_Longford,0.86
http://dbpedia.org/resource/County_Longford,http://dbpedia.org/resource/County_Westmeath,0.86
http://dbpedia.org/resource/County_Longford,http://dbpedia.org/resource/County_Kilkenny,0.86
http://dbpedia.org/resource/County_Longford,http://dbpedia.org/resource/County_Wexford,0.86
http://dbpedia.org/resource/County_Longford,http://dbpedia.org/resource/County_Meath,0.86
http://dbpedia.org/resource/County_Longford,http://dbpedia.org/resource/County_Louth,0.86
http://dbpedia.org/resource/County_Wexford,http://dbpedia.org/resource/County_Longford,0.86
http://dbpedia.org/resource/County_Louth,http://dbpedia.org/resource/County_Longford,0.86
http://dbpedia.org/resource/Illauneeragh_West,http://dbpedia.org/resource/Mason_Island,0.86
http://dbpedia.org/resource/Mutton_Island,http://dbpedia.org/resource/Inishcorker,0.86
"http://dbpedia.org/resource/Mutton_Island,_County_Galway",http://dbpedia.org/resource/Mason_Island,0.86
http://dbpedia.org/resource/Inchamakinna,"http://dbpedia.org/resource/Mutton_Island,_County_Galway",0.86
http://dbpedia.org/resource/Rotten_Island,http://dbpedia.org/resource/Glashedy,0.86
http://dbpedia.org/resource/Rotten_Island,http://dbpedia.org/resource/Owey_Island,0.86
"http://dbpedia.org/resource/Mutton_Island,_County_Galway",http://dbpedia.org/resource/Inishark,0.86
"http://dbpedia.org/resource/Mutton_Island,_County_Galway",http://dbpedia.org/resource/Inisheltia,0.86
http://dbpedia.org/resource/Inchamakinna,http://dbpedia.org/resource/Illauneeragh_West,0.86
http://dbpedia.org/resource/Inchamakinna,http://dbpedia.org/resource/Inishark,0.86
http://dbpedia.org/resource/Inchamakinna,http://dbpedia.org/resource/Inisheltia,0.86
"http://dbpedia.org/resource/Mutton_Island,_County_Galway",http://dbpedia.org/resource/Mutton_Island,0.86
http://dbpedia.org/resource/Inishark,http://dbpedia.org/resource/Illauneeragh_West,0.86
http://dbpedia.org/resource/Caher_Island,http://dbpedia.org/resource/Inishdalla,0.86
http://dbpedia.org/resource/Beginish_Island,http://dbpedia.org/resource/Deenish_Island,0.86
http://dbpedia.org/resource/Beginish_Island,http://dbpedia.org/resource/Magharee_Islands,0.86
http://dbpedia.org/resource/Inishark,http://dbpedia.org/resource/Illauneeragh,0.86
http://dbpedia.org/resource/Inishark,http://dbpedia.org/resource/Inisheltia,0.86
http://dbpedia.org/resource/Inishark,http://dbpedia.org/resource/Mason_Island,0.86
http://dbpedia.org/resource/Inishark,"http://dbpedia.org/resource/Mutton_Island,_County_Galway",0.86
http://dbpedia.org/resource/Inishark,http://dbpedia.org/resource/Inchamakinna,0.86
http://dbpedia.org/resource/Inishcorker,http://dbpedia.org/resource/Mutton_Island,0.86
http://dbpedia.org/resource/Magharee_Islands,http://dbpedia.org/resource/Beginish_Island,0.86
http://dbpedia.org/resource/Magharee_Islands,http://dbpedia.org/resource/Deenish_Island,0.86
http://dbpedia.org/resource/Inchamakinna,http://dbpedia.org/resource/Mason_Island,0.86
http://dbpedia.org/resource/Inchamakinna,http://dbpedia.org/resource/Illauneeragh,0.86
http://dbpedia.org/resource/Inishdalla,http://dbpedia.org/resource/Caher_Island,0.86
"http://dbpedia.org/resource/Tallow,_County_Waterford","http://dbpedia.org/resource/Dunhill,_County_Waterford",0.85
http://dbpedia.org/resource/Canon_Island,http://dbpedia.org/resource/Inchbofin,0.85
"http://dbpedia.org/resource/Dunhill,_County_Waterford","http://dbpedia.org/resource/Tallow,_County_Waterford",0.85
http://dbpedia.org/resource/Inchbofin,http://dbpedia.org/resource/Canon_Island,0.85
http://dbpedia.org/resource/Inishmaan,http://dbpedia.org/resource/Inisheer,0.84
http://dbpedia.org/resource/Inisheer,http://dbpedia.org/resource/Inishmaan,0.84
http://dbpedia.org/resource/County_Wicklow,http://dbpedia.org/resource/County_Cavan,0.83
http://dbpedia.org/resource/County_Laois,http://dbpedia.org/resource/County_Leitrim,0.83
http://dbpedia.org/resource/County_Kilkenny,http://dbpedia.org/resource/County_Cavan,0.83
http://dbpedia.org/resource/County_Louth,http://dbpedia.org/resource/County_Cavan,0.83
http://dbpedia.org/resource/County_Laois,http://dbpedia.org/resource/County_Mayo,0.83
http://dbpedia.org/resource/County_Cork,http://dbpedia.org/resource/County_Laois,0.83
http://dbpedia.org/resource/County_Cork,http://dbpedia.org/resource/County_Offaly,0.83
http://dbpedia.org/resource/County_Kerry,http://dbpedia.org/resource/County_Cavan,0.83
http://dbpedia.org/resource/County_Cork,http://dbpedia.org/resource/County_Cavan,0.83
http://dbpedia.org/resource/County_Kerry,http://dbpedia.org/resource/County_Offaly,0.83
http://dbpedia.org/resource/County_Kerry,http://dbpedia.org/resource/County_Laois,0.83
http://dbpedia.org/resource/County_Laois,http://dbpedia.org/resource/County_Sligo,0.83
http://dbpedia.org/resource/County_Laois,http://dbpedia.org/resource/County_Waterford,0.83
http://dbpedia.org/resource/County_Wexford,http://dbpedia.org/resource/County_Cavan,0.83
http://dbpedia.org/resource/County_Laois,http://dbpedia.org/resource/County_Galway,0.83
http://dbpedia.org/resource/County_Laois,http://dbpedia.org/resource/County_Cork,0.83
http://dbpedia.org/resource/County_Galway,http://dbpedia.org/resource/County_Offaly,0.83
http://dbpedia.org/resource/County_Galway,http://dbpedia.org/resource/County_Laois,0.83
http://dbpedia.org/resource/County_Leitrim,http://dbpedia.org/resource/County_Offaly,0.83
http://dbpedia.org/resource/County_Leitrim,http://dbpedia.org/resource/County_Laois,0.83
http://dbpedia.org/resource/County_Leitrim,http://dbpedia.org/resource/County_Cavan,0.83
http://dbpedia.org/resource/County_Galway,http://dbpedia.org/resource/County_Cavan,0.83
http://dbpedia.org/resource/County_Laois,http://dbpedia.org/resource/County_Kerry,0.83
http://dbpedia.org/resource/County_Cavan,http://dbpedia.org/resource/County_Kerry,0.83
http://dbpedia.org/resource/County_Cavan,http://dbpedia.org/resource/County_Cork,0.83
http://dbpedia.org/resource/County_Cavan,http://dbpedia.org/resource/County_Mayo,0.83
http://dbpedia.org/resource/County_Cavan,http://dbpedia.org/resource/County_Wexford,0.83
http://dbpedia.org/resource/County_Sligo,http://dbpedia.org/resource/County_Cavan,0.83
http://dbpedia.org/resource/County_Cavan,http://dbpedia.org/resource/County_Louth,0.83
http://dbpedia.org/resource/County_Meath,http://dbpedia.org/resource/County_Cavan,0.83
http://dbpedia.org/resource/County_Cavan,http://dbpedia.org/resource/County_Kilkenny,0.83
